地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选,Cluster
昌平-东关-京科苑,南北,整租,2室1厅1卫,7,76.0,3100,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,0
海淀-西二旗-领秀新硅谷1号院,南北,整租,2室2厅1卫,15,95.0,10000,链家,"官方核验,业主自荐,新上,近地铁,精装,随时看房",0,1
朝阳-奥林匹克公园-万科星园,西南,整租,2室1厅1卫,13,109.68,8500,贝壳优选,"近地铁,精装,押一付一,随时看房,首次出租",0,0
西城-长椿街-宣武门西大街南区,南,整租,2室1厅1卫,10,50.9,7800,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,0
朝阳-亚运村-慧忠北里第一社区,西北,整租,3室1厅1卫,25,111.77,9400,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,1
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,18,84.0,3500,链家,"官方核验,集中供暖,随时看房",0,1
海淀-双榆树-双榆树北里,南,整租,1室1厅1卫,6,36.6,7200,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0,0
海淀-万柳-新起点嘉园,东南,整租,3室2厅2卫,19,163.0,18000,链家,"官方核验,业主自荐,近地铁,精装,集中供暖,双卫生间",0,1
房山-良乡-佳世苑小区,东南,整租,2室1厅1卫,11,101.37,3600,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,0
丰台-科技园区-恒富中街6号院,南北,整租,3室1厅2卫,7,141.48,11200,链家,"官方核验,业主自荐,近地铁,精装,集中供暖,双卫生间",0,0
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,6,61.65,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,10,116.0,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0,0
朝阳-首都机场-南平里,南北,整租,2室1厅1卫,6,89.48,4500,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0,0
西城-金融街-参政胡同19号院,南,整租,1室1厅1卫,16,41.1,7400,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房",0,1
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,21,89.68,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
海淀-牡丹园-花园路甲1号,南北,整租,3室1厅1卫,12,89.84,11000,贝壳优选,"近地铁,集中供暖,押一付一,随时看房,首次出租",0,0
昌平-南邵-北郡嘉源,南,整租,3室1厅1卫,18,88.99,4350,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房,首次出租",0,1
朝阳-马甸-裕民路1号院,南,整租,2室1厅1卫,6,54.63,6200,链家,"官方核验,新上,近地铁,集中供暖,随时看房",0,0
大兴-大兴机场空港-榆垡新城嘉园B区,南,整租,1室0厅1卫,10,49.39,1339,贝壳优选,"新上,集中供暖,押一付一,随时看房",0,0
大兴-枣园-首邑溪谷,东西,整租,2室1厅2卫,11,48.3,4500,贝壳优选,"新上,精装,集中供暖,押一付一,双卫生间,随时看房",0,0
